Id,Identifies the type of dwelling involved in the sale.,Identifies the general zoning classification of the sale.,Linear feet of street connected to property,Lot size in square feet,Type of road access to property,Type of alley access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Proximity to various conditions (if more than one is present),Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on house,Exterior covering on house (if more than one material),Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Type of foundation,Evaluates the height of the basement,Evaluates the general condition of the basement,Refers to walkout or garden level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second floor square feet,Low quality finished square feet (all floors),Above grade (ground) living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half baths above grade,BedroomAbvGr,KitchenAbvGr,Kitchen quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,Year garage was built,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence quality,Miscellaneous feature not covered in other categories,$Value of miscellaneous feature,Month Sold (MM),Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
577,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,52.0,6292,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,South & West of Iowa State University,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,Good,Good,1928,1950,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,861,861,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,877,600,0,1477,0,1,2,0,3,1,Typical/Average,6,Typical Functionality,1,Good - Masonry Fireplace in main level,Detached from home,1928.0,Unfinished,1,216,Typical/Average,Typical/Average,Paved,0,50,0,0,0,0,,,,0,8,2009,Warranty Deed - Conventional,Normal Sale,145000
1253,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,62.0,9858,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Mitchell,Normal,Normal,Single-family Detached,One story,Average,Above Average,1968,1968,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,510,Unfinshed,0,354,864,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,874,0,0,874,1,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,,Attached to home,1968.0,Rough Finished,1,288,Typical/Average,Typical/Average,Paved,33,0,0,0,0,0,,Good Wood,Shed (over 100 SF),600,11,2009,Warranty Deed - Conventional,Normal Sale,130000
1062,1-STORY 1945 & OLDER,C (all),120.0,18000,Gravel,,Regular,Depression,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,Single-family Detached,One story,Fair,Below Average,1935,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Fair,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,894,894,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,894,0,0,894,0,0,1,0,2,1,Typical/Average,6,Typical Functionality,0,,Detached from home,1994.0,Rough Finished,3,1248,Typical/Average,Typical/Average,Paved,0,20,0,0,0,0,,,Shed (over 100 SF),560,8,2008,Contract Low Down,Normal Sale,81000
568,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.0,10171,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,One story,Good,Average,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,168.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,2,Unfinshed,0,1515,1517,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1535,0,0,1535,0,0,2,0,3,1,Good,7,Typical Functionality,0,,Attached to home,2004.0,Rough Finished,2,532,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,3,2010,Warranty Deed - Conventional,Normal Sale,214000
1109,2-STORY 1946 & NEWER,Residential Low Density,,8063,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,Two story,Above Average,Average,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,924,924,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,948,742,0,1690,0,0,2,1,3,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,2000.0,Rough Finished,2,463,Typical/Average,Typical/Average,Paved,100,48,0,0,0,0,,,,0,11,2007,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",181000
1114,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,66.0,8923,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,Average,Good,1953,2006,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,643,Unfinshed,0,365,1008,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1008,0,0,1008,1,0,1,0,2,1,Good,6,Typical Functionality,0,,Attached to home,1953.0,Unfinished,1,240,Typical/Average,Typical/Average,Paved,0,18,0,0,0,0,,,,0,5,2007,Warranty Deed - Conventional,Normal Sale,134500
169,2-STORY 1946 & NEWER,Residential Low Density,62.0,8244,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,Two story,Good,Average,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,840,840,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,840,880,0,1720,0,0,2,1,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,2004.0,Finished,2,440,Typical/Average,Typical/Average,Paved,100,48,0,0,0,0,,,,0,5,2007,Warranty Deed - Conventional,Normal Sale,183500
1103,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.0,7000,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,Average,Good,1960,2002,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Face,45.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,588,Unfinshed,0,422,1010,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1134,0,0,1134,0,0,1,0,2,1,Typical/Average,6,Typical Functionality,0,,Attached to home,1960.0,Rough Finished,1,254,Typical/Average,Typical/Average,Paved,0,16,0,0,0,0,,Minimum Wood/Wire,,0,4,2007,Warranty Deed - Conventional,Sale between family members,135000
1121,1-STORY 1945 & OLDER,Residential Medium Density,59.0,8263,Paved,,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Iowa DOT and Rail Road,Normal,Normal,Single-family Detached,One story,Above Average,Average,1920,1950,Gable,Standard (Composite) Shingle,Brick Face,Brick Face,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,1012,1012,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1012,0,0,1012,0,0,1,0,2,1,Typical/Average,6,Typical Functionality,1,Good - Masonry Fireplace in main level,Detached from home,1920.0,Unfinished,1,308,Typical/Average,Typical/Average,Paved,0,22,112,0,0,0,,Minimum Privacy,,0,5,2007,Warranty Deed - Conventional,Normal Sale,118400
68,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,72.0,10665,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,One story,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,167.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,1013,Unfinshed,0,440,1453,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1479,0,0,1479,1,0,2,0,3,1,Good,7,Typical Functionality,0,,Attached to home,2003.0,Rough Finished,2,558,Typical/Average,Typical/Average,Paved,144,29,0,0,0,0,,,,0,6,2007,Warranty Deed - Conventional,Normal Sale,226000
1041,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,88.0,13125,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,One story,Average,Below Average,1957,2000,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Common,67.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,168,Below Average Living Quarters,682,284,1134,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1803,0,0,1803,1,0,2,0,3,1,Typical/Average,8,Major Deductions 1,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1957.0,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,Good Privacy,,0,1,2006,Warranty Deed - Conventional,Normal Sale,155000
454,2-STORY 1946 & NEWER,Floating Village Residential,75.0,9000,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,Two story,Very Good,Average,2008,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,768,768,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,786,804,0,1590,0,0,2,1,3,1,Good,6,Typical Functionality,0,,Attached to home,2008.0,Rough Finished,2,676,Typical/Average,Typical/Average,Paved,0,30,0,0,0,0,,,,0,6,2009,Warranty Deed - Conventional,Normal Sale,210000
671,2-STORY 1946 & NEWER,Residential Low Density,64.0,8633,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of property,Gentle slope,College Creek,Normal,Normal,Single-family Detached,Two story,Above Average,Average,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,193,Unfinshed,0,545,738,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,738,738,0,1476,1,0,2,1,3,1,Good,7,Typical Functionality,0,,Attached to home,2005.0,Finished,2,540,Typical/Average,Typical/Average,Paved,100,35,0,0,0,0,,,,0,2,2009,Warranty Deed - Conventional,Normal Sale,173500
1095,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,74.0,5868,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,Average,Good,1956,2000,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,248,Average Rec Room,240,448,936,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,936,0,0,936,1,0,1,0,2,1,Typical/Average,4,Typical Functionality,0,,Attached to home,1956.0,Finished,1,308,Typical/Average,Typical/Average,Paved,0,0,80,0,160,0,,,,0,5,2010,Warranty Deed - Conventional,Normal Sale,129000
193,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,68.0,9017,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,One story,Good,Average,1999,1999,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,560,Unfinshed,0,871,1431,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1431,0,0,1431,1,0,2,0,3,1,Good,6,Typical Functionality,0,,Attached to home,1999.0,Finished,2,666,Typical/Average,Typical/Average,Paved,0,35,0,0,0,0,,,,0,9,2009,Warranty Deed - Conventional,Normal Sale,192000
124,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,55.0,7892,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,Townhouse End Unit,One story,Above Average,Average,1993,1993,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,300,Unfinshed,0,899,1199,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1199,0,0,1199,0,0,2,0,2,1,Good,5,Typical Functionality,0,,Attached to home,1993.0,Rough Finished,2,530,Typical/Average,Typical/Average,Paved,0,63,0,0,0,0,,,,0,3,2008,Warranty Deed - Conventional,Normal Sale,153900
416,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,73.0,8899,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,One story,Good,Average,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,24,Unfinshed,0,1316,1340,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1340,0,0,1340,0,0,2,0,3,1,Good,6,Typical Functionality,0,,Attached to home,2007.0,Finished,2,396,Typical/Average,Typical/Average,Paved,100,30,0,0,0,0,,,,0,8,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),181134
278,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,140.0,19138,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,One story,Below Average,Average,1951,1951,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,120,Unfinshed,0,744,864,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,864,0,0,864,0,0,1,0,2,1,Typical/Average,4,Typical Functionality,0,,Detached from home,1951.0,Unfinished,2,400,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,6,2010,Warranty Deed - Conventional,Normal Sale,141000
434,2-STORY 1946 & NEWER,Residential Low Density,100.0,10839,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,Two story,Above Average,Average,1997,1998,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,926,926,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,926,678,0,1604,0,0,2,1,3,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1997.0,Finished,2,470,Typical/Average,Typical/Average,Paved,0,36,0,0,0,0,,,,0,7,2008,Warranty Deed - Conventional,Normal Sale,181000
